entity_name,type,zone,purpose,required,notes
spawn_player_1,info_target,Zona 0,Spawn jugador 1,yes,Colocar dentro del refugio inicial
spawn_player_2,info_target,Zona 0,Spawn jugador 2,yes,Colocar dentro del refugio inicial
spawn_player_3,info_target,Zona 0,Spawn jugador 3,yes,Colocar dentro del refugio inicial
spawn_player_4,info_target,Zona 0,Spawn jugador 4,yes,Colocar dentro del refugio inicial
spawn_player_5,info_target,Zona 0,Spawn jugador 5,yes,Colocar dentro del refugio inicial
respawn_hub,info_target,Zona 0,Centro seguro de respawn y curacion,yes,El sistema de zona segura usa este punto como centro
npc_shop_basic_spawn,info_target,Zona 0,Comerciante Basico,yes,NPC del hub
npc_crafting_master_spawn,info_target,Zona 0,Maestro Forjador,yes,NPC del hub
npc_artifact_master_spawn,info_target,Zona 0,Maestro de Artefactos,yes,NPC del hub
npc_pet_keeper_spawn,info_target,Zona 0,Maestro de Bestias,yes,NPC del hub
npc_season_keeper_spawn,info_target,Zona 0,Guardian de Temporada,yes,NPC del hub
zone_1_spawn_1,info_target,Zona 1,Spawn normal,yes,Campamento normal
zone_1_spawn_2,info_target,Zona 1,Spawn normal,yes,Campamento normal
zone_1_spawn_3,info_target,Zona 1,Spawn normal,yes,Campamento normal
zone_1_elite_spawn,info_target,Zona 1,Spawn elite,yes,Elite inicial
area_boss_1_spawn,info_target,Zona 1,Jefe de area,yes,Arena simple
zone_boss_1_spawn,info_target,Zona 1,Jefe de zona,yes,Desbloquea Zona 2 y Mundo 2
respawn_zone_1,info_target,Zona 1,Respawn de zona,yes,Entrada segura
zone_2_spawn_1,info_target,Zona 2,Spawn normal,yes,Campamento normal
zone_2_spawn_2,info_target,Zona 2,Spawn normal,yes,Campamento normal
zone_2_spawn_3,info_target,Zona 2,Spawn normal,yes,Campamento normal
zone_2_elite_spawn,info_target,Zona 2,Spawn elite,yes,Elite de bosque corrupto
area_boss_2_spawn,info_target,Zona 2,Jefe de area,yes,Arena simple media
zone_boss_2_spawn,info_target,Zona 2,Jefe de zona,yes,Desbloquea Zona 3 y Mundo 3
respawn_zone_2,info_target,Zona 2,Respawn de zona,yes,Entrada segura
zone_gate_2,info_target,Entrada Zona 2,Puerta logica,yes,Colocar en el acceso visual
zone_3_spawn_1,info_target,Zona 3,Spawn normal,yes,Campamento normal
zone_3_spawn_2,info_target,Zona 3,Spawn normal,yes,Campamento normal
zone_3_spawn_3,info_target,Zona 3,Spawn normal,yes,Campamento normal
zone_3_elite_spawn,info_target,Zona 3,Spawn elite,yes,Elite de cripta
area_boss_3_spawn,info_target,Zona 3,Jefe de area,yes,Empiezan mecanicas mas serias
zone_boss_3_spawn,info_target,Zona 3,Jefe de zona,yes,Desbloquea Zona 4 y Mundo 4
respawn_zone_3,info_target,Zona 3,Respawn de zona,yes,Entrada segura
zone_gate_3,info_target,Entrada Zona 3,Puerta logica,yes,Colocar en el acceso visual
zone_4_spawn_1,info_target,Zona 4,Spawn normal,yes,Campamento normal
zone_4_spawn_2,info_target,Zona 4,Spawn normal,yes,Campamento normal
zone_4_spawn_3,info_target,Zona 4,Spawn normal,yes,Campamento normal
zone_4_elite_spawn,info_target,Zona 4,Spawn elite,yes,Elite de bastion
area_boss_4_spawn,info_target,Zona 4,Jefe de area,yes,Arena fortaleza
zone_boss_4_spawn,info_target,Zona 4,Jefe de zona,yes,Desbloquea Zona 5 y Mundo 5
respawn_zone_4,info_target,Zona 4,Respawn de zona,yes,Entrada segura
zone_gate_4,info_target,Entrada Zona 4,Puerta logica,yes,Colocar en el acceso visual
zone_5_spawn_1,info_target,Zona 5,Spawn normal,yes,Campamento normal
zone_5_spawn_2,info_target,Zona 5,Spawn normal,yes,Campamento normal
zone_5_spawn_3,info_target,Zona 5,Spawn normal,yes,Campamento normal
zone_5_elite_spawn,info_target,Zona 5,Spawn elite,yes,Elite titanico
area_boss_5_spawn,info_target,Zona 5,Jefe de area,yes,Arena titanica
zone_boss_5_spawn,info_target,Zona 5,Jefe de zona,yes,Desbloquea Zona 6 y Mundo 6
respawn_zone_5,info_target,Zona 5,Respawn de zona,yes,Entrada segura
